M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,N,L,Name,出場セット,出場セット1,出場セット2,出場セット3,出場セット4,出場セット5,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,3,1,25,20,0.015277778,25,18,0.018055556,21,25,0.017361111,25,21,0.015277778,-,-,-,久光製薬スプリングス,9,L,高橋 幸子,4,●,●,●,●,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,27,17,0,63
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,3,1,25,20,0.015277778,25,18,0.018055556,21,25,0.017361111,25,21,0.015277778,-,-,-,久光製薬スプリングス,10,-,鶴田 桂子(C),4,■,■,■,■,-,4,1,0,25,0.25,0,0,0,-,0,-,10,1,0,5,20.5,0,0,0,-
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,3,1,25,20,0.015277778,25,18,0.018055556,21,25,0.017361111,25,21,0.015277778,-,-,-,久光製薬スプリングス,11,-,満永 ひとみ,4,■,■,■,■,-,24,10,1,41.7,2.5,1,0,0,0,0,-,16,1,2,8,17.5,10,7,0,70
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,3,1,25,20,0.015277778,25,18,0.018055556,21,25,0.017361111,25,21,0.015277778,-,-,-,久光製薬スプリングス,12,-,北島 真紀子,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,3,1,25,20,0.015277778,25,18,0.018055556,21,25,0.017361111,25,21,0.015277778,-,-,-,久光製薬スプリングス,15,-,野田 昌代,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,1,3,20,25,0.015277778,18,25,0.018055556,25,21,0.017361111,21,25,0.015277778,-,-,-,パイオニアレッドウィングス,0,-,佐々木 みき,4,■,■,■,■,-,59,20,7,33.9,5,16,10,1,62.5,1,0.25,15,0,1,2,3.3,9,6,0,66.7
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,1,3,20,25,0.015277778,18,25,0.018055556,25,21,0.017361111,21,25,0.015277778,-,-,-,パイオニアレッドウィングス,2,-,鈴木 玲子(C),0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,1,3,20,25,0.015277778,18,25,0.018055556,25,21,0.017361111,21,25,0.015277778,-,-,-,パイオニアレッドウィングス,5,-,多治見 麻子,4,■,■,■,■,-,18,3,1,16.7,0.75,0,0,0,-,3,0.75,16,1,0,7,15.9,9,6,0,66.7
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,1,3,20,25,0.015277778,18,25,0.018055556,25,21,0.017361111,21,25,0.015277778,-,-,-,パイオニアレッドウィングス,7,L,吉田 実代,4,●,●,●,●,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,39,19,0,48.7
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,1,3,20,25,0.015277778,18,25,0.018055556,25,21,0.017361111,21,25,0.015277778,-,-,-,パイオニアレッドウィングス,8,-,斎藤 真由美,4,■,■,■,■,-,31,8,1,25.8,2,1,0,0,0,1,0.25,11,0,1,4,9.1,15,10,0,66.7
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,1,3,20,25,0.015277778,18,25,0.018055556,25,21,0.017361111,21,25,0.015277778,-,-,-,パイオニアレッドウィングス,10,-,河野 奈歩,1,-,-,-,□,-,1,0,0,0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,1,3,20,25,0.015277778,18,25,0.018055556,25,21,0.017361111,21,25,0.015277778,-,-,-,パイオニアレッドウィングス,11,-,椿本 真恵,4,■,■,■,■,-,28,7,3,25,1.75,1,0,1,0,0,-,13,0,1,6,11.5,15,7,0,46.7
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,1,3,20,25,0.015277778,18,25,0.018055556,25,21,0.017361111,21,25,0.015277778,-,-,-,パイオニアレッドウィングス,14,-,内田 役子,4,■,■,■,■,-,1,0,0,0,-,0,0,0,-,0,-,14,1,0,4,12.9,0,0,0,-
